Nr,Vorname,Nachname,Titel,Geschlecht,Konfession,Bemerkungen
4430,"Ernst Christoph G. (später F.) v.","Kaunitz Rietberg","1773 K, wGR, RGV, 1795 F.v.",0,0,"1763-70 Botschafter in Neapel, 1770-72 Landeshauptmann von Mähren, dann Generalhofbaudirektor und Obersthofmarschall, einer der persönl Vertrauten von Joseph II, Orden d Gold Vlies, nach dem Tod seines Vaters 1794 erbte er dessen Fürstentitel und wurde auch Graf von Rietberg. Starb 19.5.1797 in Wien, sein Bruder Dominik Andreas war sein Erbe. (wiki).
Sohn von Wenzel Kaunitz, Bruder von Dominik Andreas, Ehemann von Leopoldine. 

V"
3428,"Johann Karl v.","Ehrenthal","1749 Rat, Loch 1750-63, 1764 HRRR, 1765 JUD",2,0,"v

starb 1768 (YR)"
3780,"Wolfgang","Hirschmann",,2,0,
3781,"Joseph Sebastian","Riedl",,2,0,
3783,"Franz","Auerbacher",,2,0,"bekommt 1741 eine Pension von 90 fl. bekommt 1745 eine zulage von 140 fl da er lichtkämmererdienst machen soll, aber dem Zehrgadner unterstellt ist (P 18, 77r)."
3784,"Franz","Sirejan",,2,0,
3790,"N. G.v.","Lodron",,2,0,
3791,"Jakob","Kilb",,2,0,
3792,"Franz","Tomeszoli",,2,0,
3793,"Daniel","Sax",,2,0,
3795,"Franz","Michel",,2,0,
3796,"Georg","Kalb",,2,0,
3797,"Georg","Sperly",,2,0,
3798,"N.","Maurer",,2,0,
3808,"Rudolph","Feuerer",,2,0,
3812,"Johann Georg","Heintz",,2,0,
3813,"Maria Cäcilia G.v.","Saurau",,1,0,"heiratet am 19.9.1743 den Gr von Sobeck (ZA SR 44)."
3816,"Maria Anna Franziska","Firall",,1,0,"1734 schon als djh Mundköchin Gehilfin Firallin aufgenommen worden (P 14, 377r). Ev. Schwester, Mutter?

Der Meisterkoch Rochus Firall starb 1758, seine Witwe Johanna hat 1758 für 3 Jahre eine Pension für sich und ihre 5 Kinder (200 fl) bekommen. 1761 bekommt die Hofkochswitwe Maria Johanna die Pensionsverlängerung über 200 fl für weitere 2 Jahre (P 27, 120r). 1765 wird die Pension für die Meisterkochswitwe Maria Anna Firall (wohl Vorname falsch) und ihre 5 Kinder wieder verlängert (P 30, 168, 228v)."
3817,"Margaretha","Schreiber",,1,0,"heiratet im Mai 1745 von Hof weg, war 7 Jahr in der Mundküche (ZA SR 44). Statt ihr wird scheinbar Theresia Gruber, geb. Häusler aufgenommen (P 18, 161r)."
3818,"Eleonora","Frärin (Frerin)",,1,0,"heiratet am 1. (15?). 7.1742 einen Herrn Matthias/Matthäus Dietrich de Dietenleiten (seit 3 Jahren am Hof (?). TZ waren D. de. Pegoriny, capitaneus et D. Carol Franz Contori (GSchK, 1742/4, Hofburgpfarre, Tauf-, Trauungsbuch 1619-1755, 666 u. 235)."
3819,"Nikolaus","Gelmini",,1,0,
3821,"Maria","Fahrin",,1,0,
3822,"Elisabeth v.","Stein",,1,0,"als Kammerdienerin bereits 1736 aufgenommen worden.

Heiratet am 10.5.1741 den Cornelius Herrmann Königsfeld, kön. Hofkriegskanzleiregistrator. Dabei waren incognito Elis Chr, MT, EH M. Anna, M. Magdalena, M. Anna junior, Franz Stephan, Karl v. Lothringen. TZ waren Ambrosius Heinrich de Gugler, Johannes Christian de Forsbach (?) (ZA SR 44, St. Augustin, Hofburgpfarre, Tauf-, Trauungsbuch, 1619-1755, 654)."
3823,"Margaretha","Thuett",,1,0,"heiratet am 31.5. 1741 den Arcieren Johann Michael Seidl (ZA SR 44, GSchK, Ehesachen, 1741/5; Hofburgpfarre, Tauf-, Trauungsbuch 1619-1755, 656)."
3826,"Maria Anna G.v.","Waldstein",,1,0,"Heiratet am 20.11.1746 den Fr.v. Kettler (ZA SR 44)."
3828,"Theresia G.v.","Colloredo",,1,0,"Tochter von Johann Baptist Colloredo-Wallsee und Maria Theresia v. Purgstall, Schwester von Camillo. Heiratet 1734 Hendrik Joseph G.v.Daun, starb 1791 (genealogieonline.nl).

1734 gestrichen."
625,"Kajetan","Gutierrez","1712 s.n.",2,0,
3831,"N. G.v.","Mariscotti",,2,0,
3832,"N. G.v.","Querieri",,2,0,
3833,"Johann","Springenkler",,2,0,
3834,"Franz","Eberand",,2,0,
3836,"Johann Georg","Korrn",,2,0,
3848,"Leopold","Klobeck",,0,0,
1466,"Maria Anna","Hintermayr","1726 h.e.",1,0,"Scheidet 1743 wegen Verheiratung aus (V 9, 166r).

Heiratet am 30.6.1743 Franz Balthasar v. Ruessenstein u. Hopfenbach, OStL. Tz waren Anton de Pistrich, HKR, Martin de Schönthal, commissariatus secretarius (?), Anton de Giebelbaur, HKR, Ignaz Pichler, HKR und Kammerzahlmeister
(Hofburgpfarre, Tauf-, Trauungsbuch 1619-1755, 678)."
3863,"Folbert v.","Allen",,0,0,
3873,"N.N.","N.N.",,0,0,
3876,"Ludwig","Pio di Savoia",,0,0,
