Nr,Person,Amt,Stab,von,bis,Bemerkung,QuelleVon,QuelleBis
15,1,11,13,1715,1716,,,
16,2,10,13,1715,1716,,,
17,3,12,13,1715,1716,,,
18,4,13,13,1715,1716,,,
19,5,14,13,1715,1716,,,
20,6,15,13,1715,1716,,,
21,7,16,13,1715,1716,,,
22,8,17,13,1715,1716,,,
23,9,18,13,1715,1716,,,
24,10,19,13,1715,1716,,,
25,11,20,13,1715,1716,,,
26,12,21,13,1715,1716,,,
27,13,22,13,1715,1716,,,
28,14,23,13,1715,1716,,,
29,15,24,13,1715,1716,,,
30,16,25,13,1712,1727,,,
31,17,26,13,1715,1715,,,
32,18,27,13,1715,1716,,,
35,18,2,1,1712,1716,,"P 7, 189r",
36,21,4,1,1712,1717,,"P 7, 231v",
37,22,5,1,1712,1717,,"P 7, 191r",
39,24,5,1,1711,1715,,"P 7, 149r",
40,25,5,1,1712,1738,,"P 7, 193v",
41,26,6,1,1712,1717,,"P 7, 194v",
42,36,6,1,1711,1716,,"P 7, 150r",
44,28,7,1,1712,1716,,"P 7, 195v",
46,30,7,1,1712,1716,,"P 7, 196r",
47,31,7,1,1712,1721,,"P 7, 196r",
48,32,7,1,1712,1740,,"P 7, 197r",
50,34,7,1,1712,1716,,"P 7, 197v",
54,39,30,1,1712,1739,,"P 7, 199v",
55,40,30,1,1712,1732,,"P 7, 199v",
56,41,30,1,1712,1723,,"P 7, 199v",
58,43,30,1,1712,1735,,"P 7, 199v",
59,44,30,1,1712,1729,,"P 7, 199v",
62,47,32,1,1715,1715,,,
63,48,33,1,1712,1729,,"P 7, 200r",
64,,33,1,1715,0,,,
65,50,348,1,1712,1716,,"P 7, 236v",
66,51,651,5,1721,1729,,,
67,52,35,1,1712,1730,,"P 7, 231v",
69,54,37,1,1712,1740,,"P 7, 204v",
71,56,39,1,1712,1720,,"P 7, 202v",
73,58,41,1,1712,1721,,"P 7, 203r",
76,61,488,1,1712,1722,,"P 7, 204r",
78,,265,1,1715,0,,,
83,67,47,1,1712,1720,,"P 7, 172r",
86,70,48,1,1713,1740,,"P 7, 406r",
87,71,262,1,1712,1734,,"P 7, 168v",
90,74,50,1,1712,1723,,"P 7, 200v",
92,76,50,1,1712,1740,,"P 7, 200v",
103,87,60,1,1712,1718,,"P 7, 233r",
111,95,61,1,1725,1740,,,
123,107,67,1,1712,1729,,"P 7, 199v",
132,116,69,1,1715,1723,,,
143,,71,1,1715,0,,,
144,128,71,1,1715,1722,,,
149,133,72,1,1715,1740,,,
192,176,80,1,1715,1715,,,
202,185,201,4,1717,1717,,,
206,,,0,0,0,,,
209,,,0,0,0,,,
240,221,84,1,1711,1716,,"P 7, 146v",
245,226,291,1,1715,1717,,,
246,227,292,1,1715,1723,,,
249,230,106,2,1712,1727,,"P 7, 259v",
251,232,105,10,1715,1720,,,
252,233,105,10,1715,1720,,,
257,,105,2,1715,0,,,
261,,109,0,0,0,,,
286,263,121,2,1712,1740,,"P 7, 380v",
288,265,296,2,1712,1727,,"P 7, 381r",
289,266,296,2,1715,1716,,,
293,270,124,2,1715,1715,,,
294,271,127,2,1715,1715,,,
295,272,128,2,1715,1728,,,
296,273,129,2,1715,1732,,,
297,274,130,2,1715,1720,,,
299,276,576,2,1715,1720,,,
300,,133,2,1715,0,,,
304,277,133,2,1715,1729,,,
307,280,135,3,1715,1715,,,
308,281,147,4,1715,1715,,,
310,283,149,4,1715,1717,,,
311,284,149,4,1715,1716,,,
312,285,149,4,1715,1719,,,
313,286,149,4,1715,1716,,,
314,287,149,4,1715,1715,,,
315,288,149,4,1715,1717,,,
316,289,149,4,1715,1718,,,
317,290,149,4,1715,1716,,,
318,291,149,4,1715,1717,,,
319,292,149,4,1715,1721,,,
320,293,149,4,1715,1723,,,
321,294,149,4,1715,1715,,,
322,295,149,4,1715,1725,,,
323,296,149,4,1715,1723,,,
324,297,149,4,1715,1720,,,
325,298,149,4,1715,1719,,,
327,301,135,3,1715,1733,,,
328,302,135,3,1715,1740,,,
329,303,135,3,1715,1729,,,
330,304,136,3,1715,1715,,,
335,,140,3,0,0,,,
337,311,141,3,1711,1725,,"P 7, 166v",
341,315,141,3,1711,1727,,"P 7, 166v",
346,299,149,4,1715,1716,,,
347,319,149,4,1715,1721,,,
348,320,681,4,1712,1728,,"P 7, 225v",
352,324,117,4,1712,1728,,"P 7, 225v",
353,325,310,4,1712,1722,,"P 7, 225v",
354,326,648,4,1715,1719,,,
355,90,582,4,1712,1740,,"P 7, 225r",
358,328,152,4,1715,1719,,,
359,329,153,4,1712,1736,,"P 7, 225v",
360,330,154,4,1715,1725,,,
361,331,157,4,1712,1730,,"P 7, 225r",
362,332,158,4,1715,1740,,,
364,334,159,4,1715,1718,,,
365,335,160,4,1712,1718,,"P 7, 226r",
367,337,160,4,1712,1736,,"P 7, 226r",
368,338,160,4,1712,1725,,"P 7, 226r",
370,340,160,4,1712,1720,,"P 7, 226r",
372,342,160,4,1712,1735,,"P 7, 226r",
375,345,298,4,1715,1718,,,
382,352,166,4,1712,1740,,"P 7, 225v",
386,356,168,4,1712,1725,,"P 7, 225v",
