Nr,Amt,Bemerkungen
1,"Obersthofmeister",
2,"Oberster Hofküchenmeister",
5,"Mundschenk",
6,"Vorschneider",
7,"Truchsess",
9,"Öst. Obrister Hofkanzler",
10,"Oberster Hofkanzler",
11,"Hof Vizekanzler",
12,"geh. Sekretär u. Referendar der InÖ. Landen",
13,"geh. Sekretär u. Referendar der Ob- und VorderÖ. Landen",
14,"geh. Sekretär u. Referendar der NÖ. Landen",
15,"geh. Sekretär u. Referendar der OÖ. Landen",
16,"Reichserzkanzler",
17,"Reichshofvizekanzler",
18,"Reichshofratspräsident",
19,"Reichshofratsvizepräsident",
20,"Ung. Obrister geheimer Kanzler",
21,"Kön.-ung. Hofkanzler",
22,"Böhmischer obrister Kanzler",
23,"deutscher Vizekanzler der bö. Hofkanzlei",
24,"Hofkriegsratspräsident",
25,"Hofkriegsratsvizepräsident",
26,"Hofkammerpräsident",
27,"Hofkammervizepräsident",
28,"Hofprediger",
29,"Zeremoniarius, Almosenier",
30,"Hofkaplan",
31,"Kapelldiener",
32,"Custos",
33,"Hofsekretär",
36,"Hofjuwelier",
37,"Lichtkämmerer",
38,"Hofeinkäufer",
39,"Hofkellermeister",
40,"Sommelier",
41,"Hofausspeiskellermeister",
42,"Hofküchenschreiber",
43,"Zehrgadner",
44,"Zuschroder",
45,"Silberdiener",
46,"Tapezier",
47,"Tapezier Gehilfe",
48,"Geheimer Ratstürhüter",
49,"Mundkoch",
50,"Hofmedicus",
51,"Hofapotheker",
52,"Hofchirurg",
53,"Bibliothekar",
56,"Reichsherold",
61,"Hoftänzer",
62,"Hof- und Kabinettkurier",
63,"Kapellmeister",
64,"Vizekapellmeister",
65,"Komponist",
66,"Sängerin",
67,"Konzertmeister",
68,"Sopranist",
69,"Altist",
70,"Tenorist",
71,"Bassist",
72,"Organist",
73,"Violinist",
74,"Gambist",
75,"Violoncellist",
76,"Violonist",
77,"Cornettist",
78,"Posaunist",
79,"Fagottist",
80,"Oboist",
81,"Musikalischer Trompeter",
82,"Musiker Jubilatus",
83,"Musiker Pensionist",
84,"Arcieren Hauptmann",
86,"Arcieren Oberfourier",
87,"Arcieren Unterfourier",
92,"Arcieren Barbierer",
95,"Trabanten Hauptmann",
97,"Silbertraxler",
103,"Oberstkämmerer",
104,"Beichtvater",
105,"Leibmedicus",
106,"Protomedicus",
107,"Kabinettsekretär",
108,"Kammerzahlmeister",
109,"Schatzmeister",
110,"Kammerzahn- und Mundarzt",
112,"Antikammertürhüter",
113,"Garderobe",
115,"Theatralingenieur",
118,"Leibapotheker",
119,"Leibchirurg",
122,"Galerie- und Kunstkammer Inspektor",
127,"Schlosshauptmann in Laxenburg",
128,"Schlosshauptmann in Ebersdorf",
129,"Schlosshauptmann in der Favorita",
130,"Schlosshauptmann in Schönbrunn",
133,"Torwart zu Schönbrunn",
134,"Obersthofmarschall",
135,"Assessor",
136,"Registrator",
137,"Expeditor",
138,"Theatralinspektor",
139,"Amtstrabant",
140,"Oberster Hofquartiermeister",
141,"Hoffourier",
142,"Einspannier",
143,"Hofprofos",
146,"Oberststallmeister",
147,"Edelknaben Hofmeister",
148,"Edelknaben Präzeptor",
149,"Edelknabe",
151,"Edelknaben Tafeldecker",
152,"Edelknaben Meisterkoch",
153,"Hoffuttermeister",
154,"Jägerei Konzipist",
155,"Hoffutteramtskassier",
156,"Hoffutterschreiber",
157,"Oberbereiter",
158,"Unterbereiter",
159,"Übergeher im Spanischen Stall",
160,"Pastin Bereiter",
163,"Ober Wagenmeister",
164,"Sattelkammerverwalter und Rüstmeister",
165,"Leibschiffmeister",
166,"Büchsenspanner",
167,"Sänftenmeister",
168,"Wagenmeister",
169,"Zeltschneider",
170,"Heumeister",
171,"Hof- und Feldtrompeter",
175,"Spanischer Hofstall Schmied",
176,"Klepperschmied",
177,"Wagenanstreicher",
181,"Leiblakai",
182,"Läufer",
183,"Sesseltrager",
184,"Heyduck",
195,"Oberster Hof- und Landjägermeister",
196,"Land Unterjägermeister",
198,"Jägerei Feldkaplan",
199,"Forstmeister in Ebersdorf",
200,"Forstmeister in Wolkersdorf",
201,"Forstmeister in Neustadt",
202,"Forstmeister in Baden",
203,"Forstmeister im Prater",
217,"Hofmohr",
224,"Falkenmeister",
226,"Reichshof und Erblanden General Erbpostmeister",
227,"Postverwalter",
228,"Postamtssekretär",
229,"Postamtsbuchhalter",
235,"Frauenzimmer Beichtvater",
236,"Guarde de Dames",
237,"Frauenzimmer Türhüter",
238,"Fräuleinhofmeisterin",
239,"Kammerfräulein",
240,"Hofdame",
241,"Kammerfrau",
242,"Kammerdienerin",
243,"Hebame",
244,"Einmacherin",
248,"Leibwäscherin",
249,"Mundköchin",
250,"Mundköchin Gehilfin",
254,"Frauenzimmer Kreserin",
255,"Krankenwärterin",
256,"Krankenwärterin Gehilfin",
258,"Kammerherr",
262,"Saaltürhüter",
264,"Leibschneider",
265,"Silberwäscher",
266,"Kellerdiener",
267,"Kellerbinder",
269,"Theatralmachinist",
270,"Geflügelmayr",
271,"Mundküchen Türhüter",
272,"Frauenzimmer Tafeldecker",
273,"Silberwäscherin",
274,"Obersthofmeisterin",
276,"Hoffischer",
278,"Kesselreiber",
279,"djh Instruktor",
281,"Kopist",
282,"Lautenist",
284,"Jägerhornist",
285,"Musikscholar",
286,"Instrumentdiener",
287,"Orgelmacher",
288,"Lautenmacher",
289,"Lautenmacher Adjunkt",
290,"Theatraltischler",
291,"Trabanten Oberfourier",
292,"Trabanten Unterfourier",
293,"Schatzmeister Adjunkt",
294,"Unterkammerfourier",
295,"Kammerheizer",
296,"Beinstecher",
297,"Spiegelmacher",
298,"Pastin Bereiter Scholar",
300,"Kammerdiener",
301,"Kammertürhüter",
302,"Kammertrabant",
303,"Kammergoldarbeiter",
304,"Kammerherr und Hofkavalier",
306,"Hofbuchhalter",
308,"Kellerschreiber",
311,"Trabanten Fourier",
312,"Edelknabendiener",
314,"djh Kammerfrau",
315,"djh Kammerdienerin",
318,"Trombonist",
321,"Geschirrmeister und Haberspitzer",
322,"djh Kammerweib",
323,"Untersilberkämmerer",
325,"Houschier",
326,"Oberhofkaplan",
327,"Capellclericus",
329,"Kämmerer Tafeldecker",
330,"Musikanten Tafeldecker",
331,"Oberbauinspektor",
332,"Historiker",
333,"Garteningenieur",
334,"Opticus",
335,"Poet",
336,"Math. Instrumentmacher",
337,"Hörpauker",
338,"Instrumentdiener Adjunkt",
339,"Edelgesteinschneider",
341,"Antiquitäten- und Med. Inspektor",
343,"Wappen-, Siegel- und Steinschneider",
344,"Bankalitätszahlmeister",
345,"Bankalitätskassier",
346,"Pupillarraithandler",
347,"Protokollist",
348,"Kanzlist",
350,"Pauker",
353,"Kammerfrauen Tafeldecker",
354,"Aya",
355,"Sakristan",
358,"Hofpatres Tafeldecker",
361,"Edelknaben Tafeldecker Gehilfe",
362,"djh Kammerdiener",
363,"djh Kammerheizer",
364,"djh Türhüter",
367,"Kücheninspektor",
368,"Obertapezierer",
369,"Untertapezierer",
376,"Hofarchitekt",
377,"Hoftaschner",
378,"Edelgesteinbohrer",
379,"Hofbildhauer",
380,"Schnürmacher",
381,"Crepin- und KnöpfmacherIn",
382,"Zuckerbäcker",
383,"Cymbalist",
385,"Zeugkammerschreiber",
387,"Haberkastner",
388,"Hofschlosser",
389,"Forstmeister im Auhof",
391,"Rosenkranzpater",
392,"Leibbarbier",
393,"Hofbarbier",
394,"Hofschneider",
396,"Meisterkoch",
397,"Bratmeister",
398,"Zusetzer",
